species,age,acres,credit_points
Mangrove,15,20,1500
Mangrove,30,50,3000
Mangrove,45,100,5500
Bamboo,5,10,800
Bamboo,10,25,2000
Bamboo,15,50,3500
Eucalyptus,10,30,1800
Eucalyptus,20,60,3200
Eucalyptus,30,120,5000
Oak,50,80,4500
Oak,100,150,8000
Oak,150,200,10000
Pine,25,40,2200
Pine,50,80,4000
Pine,75,120,6000
Acacia,20,30,1600
Acacia,40,60,3000
Acacia,60,100,4500
Palm,10,20,1000
Palm,25,50,2500
Palm,40,80,4000
Birch,20,35,1800
Birch,40,70,3600
Birch,60,120,5400
Cedar,15,25,1400
Cedar,30,55,2800
Cedar,45,90,4200
Cypress,10,20,1000
Cypress,25,45,2300
Cypress,40,80,3800
Maple,15,30,1700
Maple,35,65,3300
Maple,55,110,5000
Willow,10,20,1200
Willow,25,45,2400
Willow,40,80,3900
Mangrove,15,20,1523
Mangrove,30,50,3012
Mangrove,45,100,5517
Bamboo,5,10,815
Bamboo,10,25,2021
Bamboo,15,50,3532
Eucalyptus,10,30,1816
Eucalyptus,20,60,3231
Eucalyptus,30,120,5047
Oak,50,80,4523
Oak,100,150,8037
Oak,150,200,10052
Pine,25,40,2218
Pine,50,80,4027
Pine,75,120,6043
Acacia,20,30,1612
Acacia,40,60,3025
Acacia,60,100,4539
Palm,10,20,1012
Palm,25,50,2527
Palm,40,80,4043
